nacchoid	module	scity	sstate	simplepopsourcecode	popcat3	popcat5	popcat7	popcat8	popcat9	q1	q2	q14b	q14c	q15r	q16	q17a	q17ab	q17b	q17c	q17cd	q17d	q17e	q17f	q17g	q17h	q17i	q17j	q17k	q17l	q17m	q18	q19a	q19b	q19c	q20	q21	govcat	yearstenure	b_module	m1weight2	popcat2old	c1_lhd_name0	LHD_Org	Contact_Category	v008_Profile	FIPS_CY
AL012		Butler	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	16265	9	2007	"$1,000,000-$4,999,999"	2579961	0	45000	45000	122763	227420	104657	0	2270240	0	0	0	4593	22040	0	10668	1	32710	17622	0	1	0.5	state	2.75					Choctaw County Health Department	LHD	1	1023
AL013	module 2	Grove Hill	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	27255	9	2007	"$500,000-$999,999"	898359	0	30000	30000	51407	271181	219774	0	519050	0	0	0	1859	33137	0	43132	1	34704	22201	0	1	0.63	state	18.75					Clarke County Health Department	LHD	1	1025
AL014		Lineville	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14700	10	2007	"$1,000,000-$4,999,999"	2364193	0	0	0	251433	377430	125997	0	1557671	771406	0	149862	13304	4630	0	-564381	1	30012	17199	0	1	3	state	8.92					Clay County Health Department	LHD	1	1027
AL015	module 1	Heflin	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14527	1	2008	"$500,000-$999,999"	473001	0	0	0	172275	287528	115253	0	216171	0	0	0	21687	15180	0	-82599	1	30012	17199	0	1	3	state	8.92	1	8.96	"<50,000"	Cleburne County Health Department	Cleburne County Health Department	LHD	1	1029
AL016		Enterprise	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	47224	9	2007	"$1,000,000-$4,999,999"	3741390	0	31576	31576	168695	470246	301551	0	2413462	704807	0	0	121259	40	0	0	1	40726	17482	0	1	0.63	state	1.92					Coffee County Health Department	LHD	1	1031
AL017	module 3	Sheffield	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	55070	9	2007	"$1,000,000-$4,999,999"	5495404	6000	168736	162736	153675	1024021	870346	0	3177914	916403	0	23913	83388	47430	0	53599	1	33907	21961	0	1	0.05	state	12.5					Colbert County Health Department	LHD	1	1033
AL018		Evergreen	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13963	1	2008	"$1,000,000-$4,999,999"	1769881	0	0	0	272170	365161	92991	0	979402	371536	0	0	2165	17296	0	17216	1	30958	22201	0	1		state	2.5					Conecuh County Health Department	LHD	1	1035
AL019		Rockford	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11937	9	2008	"<$500,000"	197038	0	15000	15000	78034	118278	40244	0	62061	0	0	0	1015	7210	0	0	1				1	3	state	8.92					Coosa County Health Department	LHD	1	1037
AL020	module 3	Andalusia	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	36867	9	2007	"$1,000,000-$4,999,999"	3183540	23000	51801	28801	198280	442368	244088	0	2449204	0	22039	0	22971	61927	0	133230	1	30958	22201	0	1		state	35.17					Covington Health Department	LHD	1	1039
AL021	module 1	Luverne	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14062	9	2007	"$500,000-$999,999"	650811	7000	7000	0	146664	236778	90114	0	381852	0	0	0	29253	0	0	0	1	40726	17482	0	1		state	1.92	1	8.96	"<50,000"	Crenshaw County Health Department	Crenshaw County Health Department	LHD	1	1041
AL022	module 3	Cullman	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	81338	9	2007	"$1,000,000-$4,999,999"	2884042	52291	145552	93261	256794	713008	456214	0	1458181	405735	0	9211	8008	55720	0	88627	1	14120	26241	0	1	0.5	state	2.92					Cullman County Health Department	LHD	1	1043
AL023	module 1	Ozark	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	48419	9	2007	"$1,000,000-$4,999,999"	1280343	0	107396	107396	83930	404092	320162	0	689755	0	0	0	51522	27578	0	0	1	40726	17482	0	1		state	1.92	1	6.66	"<50,000"	Dale County Health Department	Dale County Health Department	LHD	1	1045
AL024		Selma	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	43469	9	2007	"$1,000,000-$4,999,999"	5169468	27000	55944	28944	393420	862573	469153	0	2903846	746182	0	0	1951	0	0	598972	2	32710	17622	0		0	state	17.67					Dallas County Health Department	LHD	1	1047
AL025	module 1	Fort Payne	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	68200	9	2007	"$1,000,000-$4,999,999"	4747564	30000	80000	50000	268837	944794	675957	0	3491005	0	0	0	0	0	0	231765	1	249679	143427	0	1	0.6	state	11.42	1	5.11	"50,000+"	DeKalb County Health Department	DeKalb County Health Department	LHD	1	1049
AL027		Wetumpka	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	city/county	77576	9	2007	"$500,000-$999,999"	864402	13506	51131	37625	172274	428548	256274	97461	101750	51611	0	0	4060	109665	0	20176	2	16419	11224	0	1	0.5	state	2.08					Elmore County Health Department	LHD	1	1051
AL028		Brewton	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	37905	9	2007	"$1,000,000-$4,999,999"	1194536	0	146841	146841	51504	288099	236595	0	592074	0	122179	0	0	37338	0	19020	1	30958	22201	0	1	0.63	state	2.5					Escambia County Health Department	LHD	1	1053
AL029	module 2	Gadsden	AL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	103475	8	2008	"$1,000,000-$4,999,999"	5683584	48000	86000	38000	534349	1296496	762147	0	2928144	1193092	0	29648	6047	151887	0	0		365000	121000	0	1		state	2.33					Etowah County Health Department	LHD	1	1055
AL031		Russellville	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	31527	9	2007	"$1,000,000-$4,999,999"	1184012	750	24220	23470	238336	577103	338767	0	490754	0	0	0	44283	21979	0	25673	1	33907	21961	0	1	0.05	state	12.5					Franklin County Health Department	LHD	1	1059
AL032		Geneva	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	26284	9	2007	"$1,000,000-$4,999,999"	2507046	0	10561	10561	202286	379193	176907	0	1657107	385484	0	0	43320	17705	0	13666	1	40726	17482	0	1		state	1.92					Geneva County Health Department	LHD	1	1061
AL033	module 2	Eutaw	AL	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	city/county	9866	1	2008	"$500,000-$999,999"	579156	0	0	0	0				321503	0	0	0	0	4120	0	2723	1	36486	20555	0	1	0.5	state	14.58					Greene County Health Department	LHD	1	1063
AL034		Greensboro	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	18886	9	2007	"<$500,000"	475790	0	3399	3399	49555	200755	151200	0	201846	0	0	0	0	0	0	69790	1	32710	17622	0	0	0	state	17.67					Hale County Health Department	LHD	1	1065
AL035		Abbeville	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	17125	9	2007	"$500,000-$999,999"	800134	7724	116328	108604	148137	277587	129450	0	365141	0	0	0	28412	12666	0	0	1	40726	17482	0	1		state	1.92					Henry County Health Department	LHD	1	1067
AL036		Dothan	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	96421	9	2007	"$5,000,000-$9,999,999"	7190378	171880	796252	624372	214876	963242	748366	0	4223031	696134	0	8169	396164	107386	0	0	1	40726	17482	0	1		state	1.92					Houston County Health Department	LHD	1	1069
AL037		Scottsboro	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	54579	9	2007	"$1,000,000-$4,999,999"	2837561	0	33750	33750	277161	604256	327095	0	1522369	581101	0	23854	22305	26542	0	23384	1				0		state	2.92					Jackson County Health Department	LHD	1	1071
AL038	module 1	Birmingham	AL	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	665775	9	2008	"$10,000,000+"	48432800																1	459994	134366	109300	1	3.5	local	7	1	3.5	"50,000+"	Jefferson County Department of Health/Alabama Public Health Area 4	Jefferson County Department of Health/Alabama Public Health Area 4	LHD	1	1073
AL039		Vernon	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	15616	9	2007	"$1,000,000-$4,999,999"	2983564	0	15000	15000	0				2017642	602779	0	0	0	0	0	0	1	36486	20555	0	1	0.5	state	14.58					Lamar County Health Department	LHD	1	1075
AL040	module 3	Florence	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	city/county	88536	9	2007	"$1,000,000-$4,999,999"	2400354	80000	126500	46500	427817	999811	571994	0	1061025	0	0	0	128908	73602	0	10508	1	33907	21961	0	1	0.05	state	12.5					Lauderdale County Health Department	LHD	1	1077
AL041		Moulton	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	34646	9	2007	"$1,000,000-$4,999,999"	2566989	0	9200	9200	201463	397300	195837	0	1202777	662041	0	59044	72	34658	0	201897	1	6418	11928	0	1	0.2	state	2.92					Lawrence County Health Department	LHD	1	1079
AL042	module 1	Opelika	AL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	city/county	130385	9	2007	"$1,000,000-$4,999,999"	2062539	121339	206644	85305	220284	685468	465184	221190	411469	339404	275	0	10429	173846	0	13814	2	28734	19643	0	1	4	state	2.08	1	4.47	"50,000+"	Lee County Health Department	Lee County Health Department	LHD	1	1081
AL043		Athens	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	72733	9	2007	"$1,000,000-$4,999,999"	4485963	0	230000	230000	283223	584190	300967	0	1442406	2050939	0	121479	1273	53894	0	1782	1	12836	23855	0	1	0.5	state	2.92					Limestone County Health Depaatment	LHD	1	1083
AL044	module 1	Hayneville	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13299	9	2007	"<$500,000"	450179	0	30333	30333	67821	202681	134860	0	244085	0	0	0	15245	0	0	-42165	1	32710	17622	0	1		state	28.25	1	8.96	"<50,000"	Lowndes County Health Department	Lowndes County Health Department	LHD	1	1085
AL045	module 1	Tuskegee	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	23084	9	2007	"$1,000,000-$4,999,999"	1072155	0	0	0	228276	373997	145721	229993	142721	302849	0	0	185	11552	0	10828	2	18195	12430	0	1	4	state	0.92	1	8.96	"<50,000"	Macon County Health Department	Macon County Health Department	LHD	1	1087
AL046	module 3	Huntsville	AL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	308174	9	2008	"$5,000,000-$9,999,999"	5032968	1697000	2153000	456000	431300	1548500	1117200	0	558300	30400	32000	0	2880	191500	0	518100	1	0	0	0	0		state	27.75					Madison County Health Department	LHD	1	1089
AL047	module 3	Linden	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	21840	9	2007	"$1,000,000-$4,999,999"	2860916	2000	27000	25000	132828	326465	193637	0	1680637	770512	0	0	1032	21244	0	34026	1	32710	17622	0	1	0.5	state	2.75					Marengo County Health Department	LHD	1	1091
AL049	module 1	Guntersville	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	88120	9	2007	"$1,000,000-$4,999,999"	4133470	50000	50000	0	86095	692391	606296	0	1929528	1197841	0	20978	101522	116165	0	25045	1	15382	28626	0	1	5	state	2.92	1	5.11	"50,000+"	Marshall County Health Department	Marshall County Health Department	LHD	1	1095
AL050	module 2	Mobile	AL	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	409542	9	2007	"$10,000,000+"	25624212	726322	5545768	4819446	1583605	4783952	3200347	5731867	5815961	242332	0	408357	725967	1582826	0	787183	1	387323	84282	0	1	5.5	local	18.58					Mobile County Health Department/Alabama Public Health Area 11	LHD	1	1097
AL051		Monroeville	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	24624	9	2007	"$1,000,000-$4,999,999"	3086571	0	100000	100000	206635	383136	176501	0	2116531	453263	0	0	6510	0	0	32416	1	30958	22201	0	1	0.63	state	2.5					Monroe County Health Department	LHD	1	1099
AL052	module 1	Montgomery	AL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"200,000-499,999"	city/county	223182	9	2007	"$5,000,000-$9,999,999"	6044084	641850	1986426	1344576	53491	1082267	1028776	438917	1275713	779020	3	2206	14065	348298	0	117169		70954	48505	0	1	0.5	local	2.08	1	4.47	"50,000+"	Montgomery County Health Department	Montgomery County Health Department	LHD	1	1101
AL080	module 3	Decatur	AL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	115430	9	2007	"$1,000,000-$4,999,999"	4302062	137500	353500	216000	237804	1167270	929466	0	1715407	610119	0	6971	1864	110555	0	336379	1				0		state	2.92					Morgan County Health Department	LHD	1	1103
AL055		Marion	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	11501	1	2008	"$500,000-$999,999"	514189	0	7219	7219	141746	279843	138097	0	163426	0	0	0	0	0	0	63701	2	32710	17622	0	0	0	state	17.67					Perry County Health Department	LHD	1	1105
AL056		Carrollton	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	20925	9	2007	"$500,000-$999,999"	979320	0	52000	52000	0				649319	0	0	0	2501	0	0	23504	1	36486	20555	0	1	0.5	state	14.58					Pickens County Health Department	LHD	1	1107
AL057	module 3	Troy	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	30062	9	2008		2946835	15876	42815	26939	93284	321967	228683	0	2188458	283739	0	0	78241	31615	0	0	1	40726	17482	0	1		state	1.92					Pike County Health Department	LHD	1	1109
AL059		Roanoke	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	23479	9	2007	"$1,000,000-$4,999,999"	3087556	0	2500	2500	292522	473625	181103	0	1650248	1358825	0	72876	71740	30937	0	-600606	1	30012	17199	0	1	3	state	8.92					Randolph County Health Department	LHD	1	1111
AL060		Phenix City	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	51562	9	2007	"$1,000,000-$4,999,999"	2773763	0	40041	40041	228636	537379	308743	136872	953260	938083	5	43285	2288	93791	0	28759	2	32838	22449	0	1	0.5	state	1.67					Russell County Health Department	LHD	1	1113
AL061		Pelham	AL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	183548	9	2007	"$1,000,000-$4,999,999"	2621252	180000	180000	0	158611	729260	570649	0	1269252	0	0	0	0	0	0	444000	1	249679	143427	39710	1	0.66	state	11.42					Shelby County Department of Health	LHD	1	1117
AL063		Livingston	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	14062	9	2007	"$500,000-$999,999"	662992	0	97780	97780	139992	284845	144853	0	172538	0	0	0	0	0	0	107829	2	32710	17622	0	0		state	17.67					Sumter County Health Department	LHD	1	1119
AL064	module 3	Talladega	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	80671	9	2007	"$1,000,000-$4,999,999"	5108585	38833	239350	200517	104190	665622	561432	0	3799763	836723	0	52942	122314	156017	0	-916435	1	30012	17199	0	1	3	state	8.92					Talladega County Health Department	LHD	1	1121
AL065	module 1	Alexander City	AL	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	41717	9	2007	"$1,000,000-$4,999,999"	1201685	11833	11933	100	319712	636610	316898	0	569345	0	0	0	60580	59746	0	-165823	1	30112	17199	0	1	3	state	8.92	1	6.66	"<50,000"	Tallapoosa County Health Department	Tallapoosa County Health Department	LHD	1	1123
AL066	module 3	Tuscaloosa	AL	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	city/county	173394	9	2007	"$5,000,000-$9,999,999"	7816077	214999	415730	200731	0				5377358	462164	0	15032	17800	0	0	505751	1	36486	20555	0	1	4	state	14.58					Tuscaloosa County Health Department	LHD	1	1125
AL067	module 2	Jasper	AL	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	70786	9	2007	"$1,000,000-$4,999,999"	2802104	1100	46490	45390	417820	933206	515386	0	1651273	0	0	0	107884	53228	0	10023	1	33907	21961	0	1	0.05	state	12.5					Walker County Health Department	LHD	1	1127
AL068	module 2	Chatom	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	18251	9	2007	"$1,000,000-$4,999,999"	2821380	0	16000	16000	194158	337196	143038	0	2193656	203487	0	18514	2037	13380	0	37110	1	34704	22201	0	1		state	18.75					Washington County Health Department	LHD	1	1129
AL069		Camden	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13047	9	2007	"$1,000,000-$4,999,999"	1246355	0	6666	6666	130348	338236	207888	0	807284	0	0	0	0	0	0	94169	1	32710	17622	0	1		state	9.42					Wilcox County Health Department	LHD	1	1131
AL070	module 2	Double Springs	AL	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	24900	9	2007	"$1,000,000-$4,999,999"	3376003	0	0	0	404545	612642	208097	0	1872436	836533	0	0	37014	295	0	17083	1	33907	21961	0	1	0.05	state	12.5					Winston County Health Department	LHD	1	1133
AZ002	module 3	Bisbee	AZ	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	132044	6	2008	"$5,000,000-$9,999,999"	5000000	0	2500000	2500000	1425000	2500000	1075000	0	0	0	0	0	0	0	0	0	1	400000	100000	0	1	5	local	2.25					Cochise County Health Department	LHD	1	4003
AZ003		Flagstaff	AZ	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	128439	6	2008	"$10,000,000+"	15106694	0	7729946	7729946	909147	4914816	4005669	0	51470	27240	259050	58807	323225	1677650	15770	48720	2	356907	41950	0	1	5.38	local	10.83					Coconino County Health Department	LHD	1	4005
AZ017	module 2	Globe	AZ	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	53308	6	2008	"$1,000,000-$4,999,999"	259246																1	299870	72889	0	1	3.4	local	6.42					Gila County Health Department	LHD	1	4007
AZ005	module 1	Safford	AZ	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	34318	6	2008	"$1,000,000-$4,999,999"	1327978	0	269015	269015	269137	983142	714005	0	0	6516	0	0	19513	49792	0	0	1	246251	29615	0	1	2.2	local	19.17	1	6.66	"<50,000"	Graham County Health Department	Graham County Health Department	LHD	1	4009
AZ006	module 2	Clifton	AZ	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8024	6	2008	"$1,000,000-$4,999,999"	733225																1	262030	53487	0	1	2	local	5.75					Greenlee County Health Department	LHD	1	4011
AZ011	module 1	Tucson	AZ	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	976521	1	2008	"$10,000,000+"	14934545	1177845	1177845	0	2568092	8189718	5621626	473241	0	0	160009	0	1813044	3117297	0	3391	1	945914	452590	0	1	9.9	local	15.17	1	3.5	"50,000+"	Pima County Health Department	Pima County Health Department	LHD	1	4019
AZ013		Nogales	AZ	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	46628	6	2008	"$500,000-$999,999"	680780	0	0	0	72046	462524	390478	0	0	0	0	0	0	218257	0	0	2	339452	68521	0	1	4	local	2.92					Santa Cruz County Health Department	LHD	1	4023
AZ015	module 3	Yuma	AZ	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	193572	6	2008	"$5,000,000-$9,999,999"	7544273	0	2474850	2474850	1552518	4218063	2665545	0	0	20782	4818	0	242964	299035	0	283761	1	433538	112658	0	1	5.38	local	3					Yuma County Health Department	LHD	1	4027
AR001		Stuttgart	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	20273	12	2007		1262863.8		35785		255823	0		0			0	0	0	0	0	0	3	0	0	0	0		state	1.58					Arkansas County Health Unit - Stuttgart	LHD	1	5001
AR002		Crossett	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	23632	7	2008		1303941.8		56014		310309	0		0			0	0	0	0	0	0	1				0		state	7.92					Ashley County Health Unit - Crossett	LHD	1	5003
AR003		Mountain Home	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	41349	6	2008		1986680.4		305279		498606	0		0			0	0	0	0	0	0	4						state	5					Baxter County Health Unit	LHD	1	5005
AR005		Harrison	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	36005	6	2008	"$1,000,000-$4,999,999"	1923136.6		265410		307936			0			0	0	0	0	0	0	4	0	0	0	0		state	1.58					Boone County Health Department	LHD	1	5009
AR006	module 2	Warren	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	12199	6	2008		937212.2		22927		291299			0			0	0	0	0	0	0	4				0		state						Bradley County Health Unit	LHD	1	5011
AR007		Hampton	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	5729	1	2008		131680.2		11615		50275			0			0	0	0	0	0	0	4				0		state	3.83					Calhoun County Health Unit	LHD	1	5013
AR008	module 2	Berryville	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	other	28058	12	2007	"<$500,000"	859801.1		91396		115299			0			0	0	0	0	0	0	4				0		state	7.67					Carroll County Health Unit	LHD	1	5015
AR009	module 3	Lake Village	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13022	1	2008		990010		32364		250171	0		0			0	0	0	0	0	0	4						state	7.08					Chicot County Health Unit - Lake Village	LHD	1	5017
AR010	module 1	Arkadelphia	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	23745	1	2008		981622.4		31780		196141	0		0			0	0	0	0	0	0	3				0		state	1.92	1	8.96	"<50,000"	Clark County Health Unit	Clark County Health Unit	LHD	1	5019
AR011	module 2	Piggott	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16970	1	2008		457988.4		45844		38719			0			0	0	0	0	0	0							state	7.5					Clay County Health Unit - Piggott	LHD	1	5021
